Year,RM,Winter Wheat,Canola,Spring Wheat,Mustard,Durum,Sunflowers,Oats,Lentils,Peas,Barley,Fall Rye,Canary Seed,Spring Rye,Tame Hay,Flax,Chickpeas
1946,352,NA,NA,9,NA,NA,NA,18,NA,NA,14,10,NA,NA,NA,NA,NA
1947,352,NA,NA,5,NA,NA,NA,9,NA,NA,3,6,NA,NA,NA,4,NA
1948,352,NA,NA,5,NA,NA,NA,5,NA,NA,3,6,NA,NA,NA,5,NA
1949,352,NA,NA,3,NA,NA,NA,5,NA,NA,4,5,NA,NA,NA,NA,NA
1950,352,NA,NA,10,NA,NA,NA,30,NA,NA,25,3,NA,NA,NA,NA,NA
1951,352,NA,NA,20,NA,NA,NA,45,NA,NA,35,13,NA,NA,NA,NA,NA
1952,352,NA,NA,28,NA,NA,NA,55,NA,NA,43,15,NA,NA,NA,NA,NA
1953,352,NA,NA,23,NA,NA,NA,46,NA,NA,33,23,NA,NA,NA,NA,NA
1954,352,NA,NA,13,NA,NA,NA,28,NA,NA,21,NA,NA,NA,NA,NA,NA
1955,352,NA,NA,24,NA,NA,NA,50,NA,NA,38,NA,NA,NA,NA,NA,NA
1956,352,NA,NA,24,NA,NA,NA,53,NA,NA,40,NA,NA,NA,NA,14,NA
1957,352,NA,NA,11,NA,NA,NA,15,NA,NA,20,NA,NA,NA,NA,6,NA
1958,352,NA,NA,11,NA,NA,NA,23,NA,NA,19,10,NA,NA,NA,7,NA
1959,352,NA,NA,8,NA,NA,NA,17,NA,NA,15,NA,NA,NA,NA,4,NA
1960,352,NA,NA,7,NA,NA,NA,19,NA,NA,16,NA,NA,NA,NA,6,NA
1961,352,NA,NA,12,NA,NA,NA,32,NA,NA,24,10,NA,NA,NA,8,NA
1962,352,NA,NA,16,NA,NA,NA,46,NA,NA,35,NA,NA,NA,NA,11,NA
1963,352,NA,NA,35,NA,NA,NA,71,NA,NA,56,23,NA,NA,NA,20,NA
1964,352,NA,NA,22,NA,NA,NA,40,NA,NA,32,18,NA,NA,NA,13,NA
1965,352,NA,NA,23,NA,NA,NA,49,NA,NA,37,21,NA,NA,NA,16,NA
1966,352,NA,NA,28,NA,NA,NA,54,NA,NA,42,28,NA,NA,NA,15,NA
1967,352,NA,NA,26,NA,NA,NA,48,NA,NA,40,NA,NA,NA,NA,NA,NA
1968,352,NA,16,24,NA,NA,NA,42,NA,NA,32,25,NA,NA,NA,NA,NA
1969,352,NA,17,27,NA,NA,NA,50,NA,NA,39,16,NA,NA,NA,15,NA
1970,352,NA,20,30,NA,29,NA,67,NA,NA,47,28,NA,NA,NA,17,NA
1971,352,NA,18,27,NA,27,NA,55,NA,NA,43,21,NA,NA,NA,17,NA
1972,352,NA,17,24,NA,20,NA,48,NA,NA,35,16,NA,NA,NA,13,NA
1973,352,NA,18,27,NA,23,NA,52,NA,NA,42,NA,NA,NA,NA,16,NA
1974,352,NA,17,26,NA,20,NA,40,NA,NA,36,NA,NA,NA,NA,13,NA
1975,352,NA,19,31,NA,29,NA,52,NA,NA,43,NA,NA,NA,NA,15,NA
1976,352,NA,19,35,NA,30,NA,55,NA,NA,44,20,NA,NA,NA,17,NA
1977,352,NA,23,27,NA,20,NA,55,NA,NA,45,17,NA,NA,NA,14,NA
1978,352,NA,18,30,NA,30,NA,43,NA,NA,40,20,NA,NA,NA,NA,NA
1979,352,NA,23,33,NA,NA,NA,62,NA,NA,46,18,NA,NA,NA,22,NA
1980,352,NA,19,26,NA,20,NA,47,NA,NA,36,18,NA,NA,NA,15,NA
1981,352,NA,22,30,NA,34,NA,62,NA,NA,44,32,NA,NA,NA,20,NA
1982,352,NA,23,38,NA,35,NA,69,NA,NA,54,20,NA,NA,NA,15,NA
1983,352,NA,22,30.8,NA,31,NA,55.4,NA,NA,44.9,28.3,NA,NA,NA,20,NA
1984,352,NA,20.3,27.8,NA,22.3,NA,49.6,NA,NA,36.2,20,NA,NA,0.5,12,NA
1985,352,NA,17.2,25.9,NA,20,NA,45,NA,NA,35.5,18,NA,NA,0.9,16,NA
1986,352,NA,23.8,37.4,NA,35,NA,73.7,NA,NA,62.4,20,NA,NA,2,21,NA
1987,352,NA,29.4,25.6,NA,24.5,NA,61.6,NA,NA,45,21,NA,NA,0.75,22,NA
1988,352,NA,17.3,15.2,NA,15.2,NA,30.4,NA,NA,29.3,10,NA,NA,0.4,15,NA
1989,352,NA,10.7,14.8,NA,15.2,NA,33.3,NA,NA,25.9,16,NA,NA,0.5,9.1,NA
1990,352,NA,8.5,25.5,NA,25,NA,50,NA,NA,42.3,25,NA,NA,0.6,15,NA
1991,352,NA,25,32.5,NA,32,NA,44.6,NA,NA,56.1,41,NA,NA,1.5,NA,NA
1992,352,NA,25.1,26.5,1124,25,NA,46.3,NA,NA,39.9,20,NA,NA,1.6,25,NA
1993,352,NA,29.1,41.5,NA,NA,NA,64.4,NA,NA,59.1,50,NA,NA,2,25,NA
1994,352,NA,31.4,33.6,500,32,NA,61.9,1200,NA,51.9,40,794,NA,NA,15,NA
1995,352,NA,25.3,31.5,1125,25,NA,45,NA,12.1,49.7,20,500,NA,1.5,15,NA
1996,352,NA,28.3,34.2,1250,35,NA,40,NA,NA,51.5,30,1472,0,1.5,20,NA
1997,352,NA,21.6,30.2,895.5,26.7,NA,41,NA,NA,45.8,25,935.7,NA,0.9,15,NA
1998,352,NA,19.6,26.1,947,23.8,NA,42.6,NA,15,39.6,20,1135.6,NA,NA,15,NA
1999,352,NA,29.4,35.8,1066.9,42.8,NA,61.2,NA,NA,56.4,20,NA,NA,NA,15,NA
2000,352,NA,21.6,19.7,988,23,NA,29,NA,20.8,30.5,12,NA,NA,NA,12,NA
2001,352,NA,14.4,19.1,675,17.9,NA,30.8,405,13.2,34.6,15,499,NA,NA,12,NA
2002,352,NA,11.1,16.1,550,12.7,NA,11.7,NA,14.2,21.6,10,338,NA,NA,NA,NA
2003,352,NA,12.7,16.3,656,16.4,NA,31.5,NA,NA,28.3,15,NA,NA,NA,NA,NA
2004,352,26.9,21.2,30.8,925,32.9,NA,51.2,939,43.8,45.1,15,1009,NA,NA,NA,NA
2005,352,33.4,35.1,37.1,1175,39.5,NA,70.3,NA,39.9,55,25,NA,NA,NA,NA,NA
2006,352,NA,22.6,25.5,NA,28.9,NA,37.9,NA,29.4,43.7,20,NA,NA,NA,NA,NA
2007,352,NA,26.6,28.5,NA,28.4,NA,52.9,NA,25.8,56.7,30,NA,NA,NA,13.9,NA
2008,352,NA,34.9,34.9,975,39.1,NA,60,NA,44.6,56,27.5,NA,NA,NA,15,NA
2009,352,NA,25.2,23.1,400,26.3,NA,56.8,NA,17,44.8,10,625,NA,NA,NA,NA
2010,352,NA,34.7,38.3,1041,39.2,NA,63.3,1708,31.8,55.3,22,1323,NA,NA,14.5,NA
2011,352,NA,34.6,38.8,1273,40.4,NA,62.2,1916,36.8,54.3,25,751,NA,NA,25.1,NA
2012,352,NA,25.5,34.4,850,32.7,NA,59.7,NA,21.6,43.4,27.5,NA,NA,NA,NA,NA
2013,352,NA,36,49.8,1233,46.6,NA,63.4,1830,49,58.9,32.5,906,NA,NA,15,NA
2014,352,NA,33.62,36.52,1250,30.31,0,62.49,2072.47,36.2,52.19,25,1084,0,0,26.81,NA
2015,352,NA,31.37,32.19,875,28.1,NA,38.41,1056.52,23.9,50.75,25,750,NA,NA,24.91,NA
2016,352,NA,41.7,51.1,842,62.6,NA,67.6,1236,42.5,68.1,45,NA,NA,NA,40.1,NA
2017,352,NA,29.86,38.04,1250,34.01,NA,39.85,1132.76,26.1,46.88,25,750,NA,NA,15,NA
2018,352,NA,38.3,45.7,NA,42.5,NA,60.5,1842,38.5,62.3,30,1500,NA,NA,30,NA
2019,352,NA,33.1,38.8,NA,41.8,NA,53.9,1488,37.3,67.3,NA,NA,NA,NA,26.5,NA
2020,352,NA,44,55.3,697,63.4,NA,97.7,1836,47.3,64.2,NA,NA,NA,NA,27.3,NA
2021,352,NA,9.5,18.5,NA,12.8,NA,NA,858,16.1,18.2,NA,NA,NA,NA,9.3,NA
2022,352,NA,27.1,42.3,1060.4,40.8,NA,64.3,1519,35.4,54.3,NA,NA,NA,NA,20.2,NA
2023,352,NA,35,46.7,NA,34.4,NA,47.3,1552.1,40.2,52.3,NA,NA,NA,NA,NA,NA
2024,352,NA,35.4,49.4,NA,43.9,NA,NA,1376,41.8,64.3,NA,NA,NA,NA,NA,NA
2025,352,NA,46.1,63.3,NA,58.7,NA,NA,2317,52.5,92.6,NA,NA,NA,NA,36.7,2126
1938,366,NA,NA,17,NA,NA,NA,26,NA,NA,25,NA,NA,NA,NA,NA,NA
1939,366,NA,NA,32,NA,NA,NA,52,NA,NA,36,NA,NA,NA,NA,12,NA
1940,366,NA,NA,21,NA,NA,NA,29,NA,NA,20,NA,NA,NA,NA,6,NA
1941,366,NA,NA,12,NA,NA,NA,15,NA,NA,11,NA,NA,NA,NA,6,NA
1942,366,NA,NA,26,NA,NA,NA,44,NA,NA,27,NA,NA,NA,NA,9,NA
1943,366,NA,NA,22,NA,NA,NA,34,NA,NA,25,NA,NA,NA,NA,8,NA
1944,366,NA,NA,16,NA,NA,NA,21,NA,NA,15,NA,NA,NA,NA,5,NA
1945,366,NA,NA,24,NA,NA,NA,44,NA,NA,28,17,NA,NA,NA,9,NA
1946,366,NA,NA,22,NA,NA,NA,26,NA,NA,18,12,NA,NA,NA,5,NA
1947,366,NA,NA,28,NA,NA,NA,41,NA,NA,30,20,NA,NA,NA,9,NA
1948,366,NA,NA,27,NA,NA,NA,38,NA,NA,29,19,NA,NA,NA,7,NA
1949,366,NA,NA,29,NA,NA,NA,42,NA,NA,38,19,NA,NA,NA,NA,NA
1950,366,NA,NA,17,NA,NA,NA,18,NA,NA,15,11,NA,NA,NA,5,NA
1951,366,NA,NA,30,NA,NA,NA,40,NA,NA,34,21,NA,NA,NA,4,NA
1952,366,NA,NA,27,NA,NA,NA,46,NA,NA,35,21,NA,NA,NA,NA,NA
1953,366,NA,NA,27,NA,NA,NA,44,NA,NA,33,24,NA,NA,NA,11,NA
1954,366,NA,NA,7,NA,NA,NA,24,NA,NA,22,22,NA,NA,NA,9,NA
1955,366,NA,NA,20,NA,NA,NA,36,NA,NA,30,26,NA,NA,NA,9,NA
1956,366,NA,NA,26,NA,NA,NA,48,NA,NA,32,19,NA,NA,NA,10,NA
1957,366,NA,NA,21,NA,NA,NA,38,NA,NA,29,21,NA,NA,NA,9,NA
1958,366,NA,NA,23,NA,NA,NA,42,NA,NA,32,19,NA,NA,NA,9,NA
1959,366,NA,NA,27,NA,NA,NA,50,NA,NA,41,21,NA,NA,NA,12,NA
1960,366,NA,NA,26,NA,NA,NA,39,NA,NA,29,23,NA,NA,NA,9,NA
1961,366,NA,NA,11,NA,NA,NA,18,NA,NA,15,7,NA,NA,NA,7,NA
1962,366,NA,NA,23,NA,NA,NA,41,NA,NA,31,21,NA,NA,NA,9,NA
1963,366,NA,NA,33,NA,NA,NA,68,NA,NA,51,26,NA,NA,NA,13,NA
1964,366,NA,NA,30,NA,NA,NA,53,NA,NA,35,19,NA,NA,NA,11,NA
1965,366,NA,NA,21,NA,NA,NA,43,NA,NA,34,19,NA,NA,NA,14,NA
1966,366,NA,NA,30,NA,NA,NA,59,NA,NA,46,20,NA,NA,NA,13,NA
1967,366,NA,20,22,NA,NA,NA,35,NA,NA,28,19,NA,NA,NA,13,NA
1968,366,NA,22,25,NA,NA,NA,48,NA,NA,36,19,NA,NA,NA,12,NA
1969,366,NA,23,29,NA,NA,NA,50,NA,NA,39,18,NA,NA,NA,15,NA
1970,366,NA,18,28,NA,25,NA,57,NA,NA,45,23,NA,NA,NA,16,NA
1971,366,NA,19,29,NA,28,NA,58,NA,NA,49,23,NA,NA,NA,17,NA
1972,366,NA,13,25,NA,23,NA,50,NA,NA,40,22,NA,NA,NA,14,NA
1973,366,NA,18,27,NA,NA,NA,45,NA,NA,40,25,NA,NA,NA,15,NA
1974,366,NA,12,21,NA,NA,NA,38,NA,NA,29,22,NA,NA,NA,12,NA
1975,366,NA,16,25,NA,25,NA,48,NA,NA,39,23,NA,NA,NA,13,NA
1976,366,NA,25,37,NA,32,NA,66,NA,NA,51,28,NA,NA,NA,18,NA
1977,366,NA,23,30,NA,NA,NA,51,NA,NA,46,24,NA,NA,NA,12,NA
1978,366,NA,26,33,NA,29,NA,56,NA,NA,49,28,NA,NA,NA,17,NA
1979,366,NA,13,22,NA,NA,NA,38,NA,NA,28,NA,NA,NA,NA,7,NA
1980,366,NA,20,22,NA,NA,NA,39,NA,NA,35,15,NA,NA,NA,9,NA
1981,366,NA,29,40,NA,39,NA,65,NA,NA,60,42,NA,NA,NA,20,NA
1982,366,NA,22,35,NA,40,NA,53,NA,NA,50,37,NA,NA,NA,20,NA
1983,366,NA,21.3,29.7,NA,30,NA,48.5,NA,NA,44,32.5,NA,NA,NA,20.2,NA
1984,366,NA,26.2,32.7,NA,28,NA,54.5,NA,NA,50,36,NA,NA,1.93,20.7,NA
1985,366,NA,26.9,32,NA,32.5,NA,51,NA,NA,53,33.1,NA,NA,2.13,21,NA
1986,366,NA,22.9,27.1,NA,33.3,NA,63.7,NA,NA,48.1,36.5,NA,NA,1.41,21.9,NA
1987,366,NA,20.4,25.8,NA,30,NA,48.3,NA,NA,41.3,18.5,NA,NA,1.45,19.6,NA
1988,366,NA,18.7,14.2,NA,19,NA,38.6,NA,NA,29.8,17,NA,NA,1.3,11.5,NA
1989,366,NA,20.3,34.5,NA,30,NA,60.4,NA,NA,52.7,35,NA,NA,2.11,16.3,NA
1990,366,NA,20.7,31.5,NA,32,NA,60,NA,NA,51.1,30,NA,NA,0.75,17.8,NA
1991,366,NA,22.9,34.8,NA,NA,NA,44,NA,NA,51.3,42.5,NA,NA,1.47,19.6,NA
1992,366,NA,15,28.4,NA,20,NA,30,NA,13.3,40,30,NA,NA,0.66,5,NA
1993,366,NA,15.4,23.6,875,NA,NA,50,600,18.7,34,30,NA,NA,2,20,NA
1994,366,NA,17.1,31.5,NA,NA,NA,70,NA,29.2,52.7,NA,1000,NA,1.5,20,NA
1995,366,NA,18.5,32.6,NA,NA,NA,82.7,NA,32.2,53.9,40,NA,NA,1.33,24.2,NA
1996,366,NA,18.9,32.5,NA,NA,NA,61.4,NA,28,50.7,NA,1247,0,1.3,21.9,NA
1997,366,NA,23.7,34.1,NA,NA,NA,80.3,NA,25.8,56.1,25,1500,NA,1.1,20.8,NA
1998,366,NA,25.9,36.2,NA,NA,NA,70.8,NA,34.3,52.8,NA,1200,NA,NA,21,NA
1999,366,NA,28.1,47.5,NA,NA,NA,91.3,NA,41.1,61.8,NA,1700,NA,NA,21.9,NA
2000,366,25,27,44.7,NA,NA,NA,88.3,NA,38.9,58.6,NA,900,NA,NA,17.6,NA
2001,366,37.5,22.6,32.1,NA,NA,NA,65.7,NA,24.3,50.8,NA,800,NA,NA,17.3,NA
2002,366,16.5,19.9,23.1,NA,NA,NA,42.9,NA,11.7,34.9,NA,540,NA,NA,12,NA
2003,366,40,25.3,37.2,NA,NA,NA,75.7,NA,24.2,55.2,30,1100,NA,NA,20,NA
2004,366,NA,8.7,26.8,NA,NA,NA,68.5,NA,19.4,44.3,25,400,NA,NA,6,NA
2005,366,44,30.3,37.7,NA,NA,NA,88.7,NA,18.3,60.8,25,1400,NA,NA,18.3,NA
2006,366,NA,26.7,41.9,NA,NA,NA,86.3,NA,34.9,57.8,NA,1200,NA,NA,18,NA
2007,366,30,23.1,29.9,NA,NA,NA,85.5,NA,32.2,44.5,NA,800,NA,NA,15,NA
2008,366,50,32.8,47,NA,NA,NA,97,NA,40.4,66.1,NA,967,NA,NA,20,NA
2009,366,NA,32.8,42.1,NA,NA,NA,93.1,NA,30.1,62.8,NA,1103,NA,NA,20.8,NA
2010,366,13.8,22.5,28.1,NA,NA,NA,53.3,NA,13.8,31.5,NA,NA,NA,NA,11.6,NA
2011,366,NA,30.8,41.9,NA,NA,NA,88.3,NA,25.3,53.4,NA,979,NA,NA,19,NA
2012,366,NA,16.2,36.7,NA,NA,NA,80.2,600,19.1,33.1,NA,641,NA,NA,10.3,NA
2013,366,26,35.9,47.3,NA,NA,NA,110.3,NA,38.9,75.2,NA,1413,NA,NA,23.9,NA
2014,366,NA,31.76,40.01,NA,NA,0,98.07,NA,28.6,55.37,NA,643.74,0,0,21.69,NA
2015,366,25,38.94,47.68,NA,59.87,NA,104.15,NA,40,73.43,NA,1572.03,NA,NA,26.46,NA
2016,366,NA,29.9,46,NA,31.5,NA,118.8,NA,27.7,69.7,NA,1200,NA,NA,30,NA
2017,366,NA,33.66,47.11,NA,NA,NA,98.43,NA,45.4,68,NA,1465.86,NA,NA,NA,NA
2018,366,NA,38.2,49.6,NA,NA,NA,104.1,NA,43,70.6,NA,NA,NA,NA,NA,NA
2019,366,NA,43.4,56.6,NA,NA,NA,125.8,NA,45.1,84,NA,NA,NA,NA,42.6,NA
2020,366,NA,45.3,67.2,NA,NA,NA,125.9,NA,38.1,81.5,NA,1839,NA,NA,40.7,NA
2021,366,NA,35.2,52.1,NA,NA,NA,80.8,NA,37.1,70.5,NA,14,NA,NA,20,NA
2022,366,NA,44.9,59.7,NA,NA,NA,115.4,NA,52.1,83.6,NA,1889.3,NA,NA,22,NA
2023,366,NA,48.6,54.9,NA,NA,NA,103.4,NA,50.7,84.6,NA,NA,NA,NA,NA,NA
2024,366,NA,38.1,60.7,NA,NA,NA,114.2,NA,38.8,79.1,NA,NA,NA,NA,NA,NA
2025,366,NA,42.3,64.5,NA,NA,NA,117.5,NA,43,88.6,NA,NA,NA,NA,32.7,NA
1938,367,NA,NA,19,NA,NA,NA,44,NA,NA,32,NA,NA,NA,NA,8,NA
1939,367,NA,NA,37,NA,NA,NA,59,NA,NA,36,NA,NA,NA,NA,12,NA
1940,367,NA,NA,22,NA,NA,NA,29,NA,NA,22,NA,NA,NA,NA,11,NA
1941,367,NA,NA,16,NA,NA,NA,18,NA,NA,13,NA,NA,NA,NA,9,NA
1942,367,NA,NA,29,NA,NA,NA,50,NA,NA,27,NA,NA,NA,NA,7,NA
1943,367,NA,NA,28,NA,NA,NA,41,NA,NA,27,NA,NA,NA,NA,7,NA
1944,367,NA,NA,26,NA,NA,NA,44,NA,NA,28,NA,NA,NA,NA,9,NA
1945,367,NA,NA,33,NA,NA,NA,53,NA,NA,35,8,NA,NA,NA,10,NA
1946,367,NA,NA,19,NA,NA,NA,33,NA,NA,17,NA,NA,NA,NA,6,NA
1947,367,NA,NA,30,NA,NA,NA,49,NA,NA,31,19,NA,NA,NA,8,NA
1948,367,NA,NA,30,NA,NA,NA,46,NA,NA,33,22,NA,NA,NA,10,NA
1949,367,NA,NA,32,NA,NA,NA,49,NA,NA,35,20,NA,NA,NA,11,NA
1950,367,NA,NA,18,NA,NA,NA,28,NA,NA,15,6,NA,NA,NA,NA,NA
1951,367,NA,NA,29,NA,NA,NA,41,NA,NA,31,20,NA,NA,NA,12,NA
1952,367,NA,NA,34,NA,NA,NA,51,NA,NA,39,19,NA,NA,NA,14,NA
1953,367,NA,NA,29,NA,NA,NA,46,NA,NA,35,20,NA,NA,NA,12,NA
1954,367,NA,NA,7,NA,NA,NA,17,NA,NA,17,NA,NA,NA,NA,NA,NA
1955,367,NA,NA,21,NA,NA,NA,35,NA,NA,27,NA,NA,NA,NA,NA,NA
1956,367,NA,NA,30,NA,NA,NA,53,NA,NA,31,16,NA,NA,NA,15,NA
1957,367,NA,NA,22,NA,NA,NA,36,NA,NA,23,13,NA,NA,NA,9,NA
1958,367,NA,NA,27,NA,NA,NA,34,NA,NA,29,11,NA,NA,NA,11,NA
1959,367,NA,NA,27,NA,NA,NA,40,NA,NA,34,NA,NA,NA,NA,12,NA
1960,367,NA,NA,28,NA,NA,NA,38,NA,NA,27,NA,NA,NA,NA,12,NA
1961,367,NA,NA,13,NA,NA,NA,11,NA,NA,9,NA,NA,NA,NA,6,NA
1962,367,NA,NA,28,NA,NA,NA,51,NA,NA,33,18,NA,NA,NA,13,NA
1963,367,NA,NA,33,NA,NA,NA,70,NA,NA,33,35,NA,NA,NA,19,NA
1964,367,NA,NA,32,NA,NA,NA,52,NA,NA,33,20,NA,NA,NA,15,NA
1965,367,NA,NA,21,NA,NA,NA,49,NA,NA,41,20,NA,NA,NA,14,NA
1966,367,NA,NA,27,NA,NA,NA,54,NA,NA,40,20,NA,NA,NA,17,NA
1967,367,NA,23,20,NA,NA,NA,34,NA,NA,31,20,NA,NA,NA,12,NA
1968,367,NA,24,27,NA,NA,NA,52,NA,NA,38,25,NA,NA,NA,15,NA
1969,367,NA,27,27,NA,NA,NA,48,NA,NA,40,NA,NA,NA,NA,16,NA
1970,367,NA,19,25,NA,NA,NA,50,NA,NA,40,24,NA,NA,NA,16,NA
1971,367,NA,20,31,NA,28,NA,60,NA,NA,48,22,NA,NA,NA,17,NA
1972,367,NA,13,27,NA,27,NA,51,NA,NA,40,22,NA,NA,NA,16,NA
1973,367,NA,15,25,NA,NA,NA,50,NA,NA,35,19,NA,NA,NA,15,NA
1974,367,NA,12,19,NA,NA,NA,31,NA,NA,25,21,NA,NA,NA,11,NA
1975,367,NA,16,21,NA,21,NA,46,NA,NA,33,NA,NA,NA,NA,14,NA
1976,367,NA,24,35,NA,NA,NA,64,NA,NA,48,24,NA,NA,NA,21,NA
1977,367,NA,24,29,NA,NA,NA,48,NA,NA,41,26,NA,NA,NA,18,NA
1978,367,NA,22,32,NA,NA,NA,57,NA,NA,45,30,NA,NA,NA,15,NA
1979,367,NA,12,16,NA,NA,NA,35,NA,NA,25,28,NA,NA,NA,9,NA
1980,367,NA,18,22,NA,NA,NA,40,NA,NA,37,18,NA,NA,NA,14,NA
1981,367,NA,30,37,NA,NA,NA,69,NA,NA,54,45,NA,NA,NA,22,NA
1982,367,NA,20,31,NA,NA,NA,54,NA,NA,48,40,NA,NA,NA,17,NA
1983,367,NA,18.9,28.4,NA,NA,NA,59.8,NA,NA,42.2,32,NA,NA,NA,17,NA
1984,367,NA,26.3,36.7,NA,30,NA,50,NA,NA,49.1,28.7,NA,NA,2.35,20.7,NA
1985,367,NA,25.6,35.2,NA,45,NA,80,NA,NA,57.5,27.5,NA,NA,2.83,19.5,NA
1986,367,NA,24.1,28.6,NA,33,NA,63.2,NA,NA,49.1,24,NA,NA,1.25,17.5,NA
1987,367,NA,28.2,25.4,NA,30,NA,60,NA,NA,46,20,NA,NA,2,17.6,NA
1988,367,NA,19.9,14.5,NA,14,NA,42.5,NA,NA,29.7,16,NA,NA,1,11.5,NA
1989,367,NA,25,35.7,NA,30,NA,66.9,NA,NA,52,30,NA,NA,1.5,18.2,NA
1990,367,NA,19.6,31.2,NA,31,NA,60,NA,NA,48.3,25,NA,NA,0.75,18.6,NA
1991,367,NA,21.1,41.7,NA,NA,NA,60,NA,NA,50.9,NA,NA,NA,1.5,21.2,NA
1992,367,NA,18.8,32.5,1250,20,NA,45,NA,12,49.2,26,200,NA,2,19,NA
1993,367,NA,16.6,21.8,950,NA,NA,57.5,NA,30.1,44.9,NA,NA,NA,1.5,15,NA
1994,367,NA,16.6,26,1200,NA,NA,69.9,NA,32.5,46.4,NA,NA,NA,2,22.5,NA
1995,367,NA,16.5,33.8,1100,NA,NA,50,NA,40.6,47.2,NA,1500,NA,1.18,22.9,NA
1996,367,NA,23.8,38,1049,NA,NA,90.2,NA,30.4,61.6,NA,1500,0,1.9,20,NA
1997,367,NA,25.2,30.9,725,NA,NA,87.1,NA,33.5,54.9,NA,1250,NA,1.9,18.2,NA
1998,367,NA,26.3,36.6,1200,NA,NA,76.3,NA,34,64.6,NA,1397.6,NA,NA,24,NA
1999,367,NA,28.1,40.7,NA,NA,NA,87.6,NA,36,67.9,NA,1617.4,NA,NA,21.3,NA
2000,367,NA,24.5,35.9,NA,NA,NA,81.3,NA,32.8,64.5,NA,1363.8,NA,NA,19,NA
2001,367,NA,21.5,27,1100,NA,NA,63,NA,21.9,52.9,NA,1200,NA,NA,22,NA
2002,367,NA,17.7,16.9,NA,NA,NA,52.2,NA,9.6,25,NA,335,NA,NA,13,NA
2003,367,NA,22.9,33.4,NA,NA,NA,63.3,NA,19,54.8,NA,427,NA,NA,16,NA
2004,367,51.5,17.7,29.6,NA,NA,NA,68.9,NA,30.4,56,NA,710,NA,NA,4,NA
2005,367,NA,31.4,39.6,NA,NA,NA,76.1,NA,29,66.1,NA,NA,NA,NA,20.7,NA
2006,367,NA,31.3,37.8,NA,NA,NA,75.9,NA,27.5,58.7,NA,NA,NA,NA,20,NA
2007,367,35,24.6,32.3,NA,NA,NA,75.3,NA,35,53.8,NA,NA,NA,NA,15,NA
2008,367,NA,35.1,46.3,NA,NA,NA,94.1,NA,37.1,68.2,NA,1325,NA,NA,28.8,NA
2009,367,NA,26.9,47.5,NA,NA,NA,85.2,NA,37.1,70.2,NA,NA,NA,NA,NA,NA
2010,367,NA,20.6,28.7,NA,NA,NA,74.1,371,15.3,26.9,NA,890,NA,NA,8.7,NA
2011,367,NA,34.5,42.2,NA,NA,NA,92,NA,28.8,61.1,NA,1612,NA,NA,14.5,NA
2012,367,NA,20.8,35.7,NA,NA,NA,80.2,NA,NA,34.6,NA,NA,NA,NA,NA,NA
2013,367,29.4,39.8,53.4,476,NA,NA,116,NA,36.3,83.4,NA,1520,NA,NA,NA,NA
2014,367,NA,30.07,44.9,NA,NA,0,103.71,NA,16.4,57.65,NA,1485.2,0,0,15.59,NA
2015,367,43.43,43.38,48.83,NA,NA,NA,113.8,NA,45.1,78.49,NA,1410.17,NA,NA,26.86,NA
2016,367,41,41.5,47,NA,28.8,NA,134.4,NA,40.9,74.4,NA,1877,NA,NA,20,NA
2017,367,NA,43.97,56,NA,NA,NA,122.59,NA,48.1,72.26,NA,NA,NA,NA,NA,NA
2018,367,NA,45.3,55.8,NA,NA,NA,120.4,NA,48.1,72.3,NA,NA,NA,NA,NA,NA
2019,367,72.3,50.7,61.8,NA,NA,NA,147.3,NA,37,85,NA,NA,NA,NA,NA,NA
2020,367,80,47.2,65,NA,NA,NA,120.2,NA,NA,79.7,NA,NA,NA,NA,NA,NA
2021,367,NA,30.2,40.2,NA,NA,NA,70,NA,21.6,51.6,NA,NA,NA,NA,NA,NA
2022,367,NA,52.7,68.9,NA,NA,NA,100.1,NA,NA,79.9,NA,NA,NA,NA,NA,NA
2023,367,NA,56.6,67,NA,NA,NA,131.2,NA,52.8,90.8,NA,NA,NA,NA,NA,NA
2024,367,NA,42.4,69.6,NA,NA,NA,109.6,NA,NA,84.7,NA,NA,NA,NA,NA,NA
2025,367,NA,51.4,70.4,NA,NA,NA,128,NA,53.8,94.8,68.1,NA,NA,NA,NA,NA
1938,368,NA,NA,17,NA,NA,NA,49,NA,NA,27,NA,NA,NA,NA,12,NA
1939,368,NA,NA,30,NA,NA,NA,44,NA,NA,29,NA,NA,NA,NA,10,NA
1940,368,NA,NA,19,NA,NA,NA,27,NA,NA,19,NA,NA,NA,NA,9,NA
1941,368,NA,NA,15,NA,NA,NA,18,NA,NA,14,NA,NA,NA,NA,7,NA
1942,368,NA,NA,25,NA,NA,NA,49,NA,NA,21,NA,NA,NA,NA,5,NA
1943,368,NA,NA,18,NA,NA,NA,31,NA,NA,14,NA,NA,NA,NA,6,NA
1944,368,NA,NA,28,NA,NA,NA,47,NA,NA,27,NA,NA,NA,NA,6,NA
1945,368,NA,NA,27,NA,NA,NA,42,NA,NA,30,NA,NA,NA,NA,NA,NA
1946,368,NA,NA,19,NA,NA,NA,30,NA,NA,17,30,NA,NA,NA,NA,NA
1947,368,NA,NA,27,NA,NA,NA,42,NA,NA,28,25,NA,NA,NA,8,NA
1948,368,NA,NA,27,NA,NA,NA,40,NA,NA,25,28,NA,NA,NA,11,NA
