Year,RM,Spring Wheat,Durum,Canola,Barley,Oats,Peas,Lentils,Flax
2020,352,55.3,63.4,44,64.2,97.7,47.3,1836,27.3
2021,352,18.5,12.8,9.5,18.2,,16.1,858,9.3
2022,352,42.3,40.8,27.1,54.3,64.3,35.4,1519,20.2
2023,352,46.7,34.4,35,52.3,47.3,40.2,1552.1,
2024,352,49.4,43.9,35.4,64.3,,41.8,1376,
2025,352,63.3,58.7,46.1,92.6,,52.5,2317,36.7
1990,366,31.5,32,20.7,51.1,60,,,17.8
1991,366,34.8,,22.9,51.3,44,,,19.6
1992,366,28.4,20,15,40,30,13.3,,5
1993,366,23.6,,15.4,34,50,18.7,600,20
1994,366,31.5,,17.1,52.7,70,29.2,,20
1995,366,32.6,,18.5,53.9,82.7,32.2,,24.2
1996,366,32.5,,18.9,50.7,61.4,28,,21.9
1997,366,34.1,,23.7,56.1,80.3,25.8,,20.8
1998,366,36.2,,25.9,52.8,70.8,34.3,,21
1999,366,47.5,,28.1,61.8,91.3,41.1,,21.9
2000,366,44.7,,27,58.6,88.3,38.9,,17.6
2001,366,32.1,,22.6,50.8,65.7,24.3,,17.3
2002,366,23.1,,19.9,34.9,42.9,11.7,,12
2003,366,37.2,,25.3,55.2,75.7,24.2,,20
2004,366,26.8,,8.7,44.3,68.5,19.4,,6
2005,366,37.7,,30.3,60.8,88.7,18.3,,18.3
2006,366,41.9,,26.7,57.8,86.3,34.9,,18
2007,366,29.9,,23.1,44.5,85.5,32.2,,15
2008,366,47,,32.8,66.1,97,40.4,,20
2009,366,42.1,,32.8,62.8,93.1,30.1,,20.8
2010,366,28.1,,22.5,31.5,53.3,13.8,,11.6
2011,366,41.9,,30.8,53.4,88.3,25.3,,19
2012,366,36.7,,16.2,33.1,80.2,19.1,600,10.3
2013,366,47.3,,35.9,75.2,110.3,38.9,,23.9
2014,366,40.01,,31.76,55.37,98.07,28.6,,21.69
2015,366,47.68,59.87,38.94,73.43,104.15,40,,26.46
2016,366,46,31.5,29.9,69.7,118.8,27.7,,30
2017,366,47.11,,33.66,68,98.43,45.4,,
2018,366,49.6,,38.2,70.6,104.1,43,,
2019,366,56.6,,43.4,84,125.8,45.1,,42.6
2020,366,67.2,,45.3,81.5,125.9,38.1,,40.7
2021,366,52.1,,35.2,70.5,80.8,37.1,,20
2022,366,59.7,,44.9,83.6,115.4,52.1,,22
2023,366,54.9,,48.6,84.6,103.4,50.7,,
2024,366,60.7,,38.1,79.1,114.2,38.8,,
2025,366,64.5,,42.3,88.6,117.5,43,,32.7
1990,367,31.2,31,19.6,48.3,60,,,18.6
1991,367,41.7,,21.1,50.9,60,,,21.2
1992,367,32.5,20,18.8,49.2,45,12,,19
1993,367,21.8,,16.6,44.9,57.5,30.1,,15
1994,367,26,,16.6,46.4,69.9,32.5,,22.5
1995,367,33.8,,16.5,47.2,50,40.6,,22.9
1996,367,38,,23.8,61.6,90.2,30.4,,20
1997,367,30.9,,25.2,54.9,87.1,33.5,,18.2
1998,367,36.6,,26.3,64.6,76.3,34,,24
1999,367,40.7,,28.1,67.9,87.6,36,,21.3
2000,367,35.9,,24.5,64.5,81.3,32.8,,19
2001,367,27,,21.5,52.9,63,21.9,,22
2002,367,16.9,,17.7,25,52.2,9.6,,13
2003,367,33.4,,22.9,54.8,63.3,19,,16
2004,367,29.6,,17.7,56,68.9,30.4,,4
2005,367,39.6,,31.4,66.1,76.1,29,,20.7
2006,367,37.8,,31.3,58.7,75.9,27.5,,20
2007,367,32.3,,24.6,53.8,75.3,35,,15
2008,367,46.3,,35.1,68.2,94.1,37.1,,28.8
2009,367,47.5,,26.9,70.2,85.2,37.1,,
2010,367,28.7,,20.6,26.9,74.1,15.3,371,8.7
2011,367,42.2,,34.5,61.1,92,28.8,,14.5
2012,367,35.7,,20.8,34.6,80.2,,,
2013,367,53.4,,39.8,83.4,116,36.3,,
2014,367,44.9,,30.07,57.65,103.71,16.4,,15.59
2015,367,48.83,,43.38,78.49,113.8,45.1,,26.86
2016,367,47,28.8,41.5,74.4,134.4,40.9,,20
2017,367,56,,43.97,72.26,122.59,48.1,,
2018,367,55.8,,45.3,72.3,120.4,48.1,,
2019,367,61.8,,50.7,85,147.3,37,,
2020,367,65,,47.2,79.7,120.2,,,
2021,367,40.2,,30.2,51.6,70,21.6,,
2022,367,68.9,,52.7,79.9,100.1,,,
2023,367,67,,56.6,90.8,131.2,52.8,,
2024,367,69.6,,42.4,84.7,109.6,,,
2025,367,70.4,,51.4,94.8,128,53.8,,
1990,368,32.4,32,17.2,54.6,50,,,15.8
1991,368,43.7,,27.6,54.5,52,,,19.3
1992,368,24,20,21.7,48.7,61,39.3,360,15
1993,368,17.6,,16.6,39.2,57.2,19.9,500,15
1994,368,35.5,,20.5,52.5,60,42.8,,23
1995,368,38,,21.9,59.4,80,34.1,900,20
1996,368,35.4,,24.1,64.4,61.6,32.4,600,25
1997,368,37.8,,24.9,57,81.8,33.5,800,22.5
1998,368,43,65,27.9,60.2,76,35.8,,23.6
1999,368,43.2,,29,71.7,78.9,46.4,,23.1
2000,368,38.9,,27.9,53.6,61.5,39.4,,22.4
2001,368,34.9,,29.2,56.2,63,23,,21.3
2002,368,21.6,,22.3,32.5,39.8,11,360,16.3
2003,368,35.8,,25.1,57.1,67.4,27,,17.7
2004,368,32.1,,18.5,65.4,68.2,32.4,,13.6
2005,368,40.8,,29.5,54.2,76.1,36,,20.6
2006,368,34.6,,30.1,52.5,86.2,28.5,,
2007,368,34.4,,26.7,55.8,71.8,43,,
2008,368,46.4,,36.2,79.6,89.4,35,417,
2009,368,44.1,,35,73.6,94.2,36.6,,
2010,368,35.3,,21.7,34.6,79,14.6,,
2011,368,53,,38,70.1,100.6,34.9,,
2012,368,47.4,,28.1,57.2,95.8,29.6,,
2013,368,68,,41.9,94.3,139,54.3,,
2014,368,49.88,,31.58,58.4,111.88,17.7,,22.5
2015,368,59.93,,41.38,72.54,99.43,45.2,,28.53
2016,368,62.6,,44.5,75.1,116.6,45,,17.2
2017,368,69.99,,44.07,81.65,126.26,50.9,,
2018,368,70,,44.1,75.2,120.6,40,,
2019,368,68.2,,51.6,92.4,139.7,39.8,,
2020,368,66.5,,48.5,86.3,136.9,43.4,,
2021,368,32.6,,23.4,33.6,50.6,22.1,,
2022,368,75.9,,55.1,94.1,142.9,47.9,,42.6
2023,368,72.4,,58.3,96.9,132.8,,,
2024,368,75.2,,43.6,97.8,146.7,49.4,,
2025,368,77.1,,51.5,99.3,143.4,45.6,,38
1990,369,32.4,30,15.8,43.9,57,,,15
1991,369,40.6,33,25.8,52.9,60,,,26
1992,369,30.5,20,23.6,58.6,50,25,,16
1993,369,27.3,22,22,56.6,70,32.5,420,16.9
1994,369,31.6,,28.2,63.2,120,40.8,,30
1995,369,39.4,37.5,27.6,67.6,91.3,43.2,,28.3
1996,369,38.6,,29.8,67,80.7,35.2,800,24.6
1997,369,39.1,,27.3,61.3,84.5,35.6,,25.5
1998,369,40.8,,28.6,66.6,93.2,38.7,,24.3
1999,369,44.5,,30.3,78.5,101.8,46.4,,27.2
2000,369,41.4,,31.3,68.1,89.1,41.4,,24.9
2001,369,33.4,,29.7,59.3,70.1,32.5,900,19.7
2002,369,19.8,,18.2,40.5,47.3,13.9,,17.5
2003,369,40.2,,27.7,66.4,83.6,35.2,,22.9
2004,369,33.1,,21.4,73,77.6,39.4,750,13.3
2005,369,46.7,,38.5,71.9,92.6,35.4,,28.4
2006,369,33.2,,28,46,70.4,32.9,,19.5
2007,369,35.3,,28.4,58.7,88.6,37.8,,16.5
2008,369,48.3,,37.5,71.3,97,41.4,,26.3
2009,369,47,,35.2,74,96,42.9,,20
2010,369,29.5,,15.1,28.1,91.8,12,,
2011,369,52.1,55,41,77.6,118.8,43.3,,27.7
2012,369,49.4,,27.5,53.2,94.9,40.3,,
2013,369,61.6,,37.9,86.5,134.4,46.2,,30
2014,369,46.74,,33.35,65.21,107.93,26.9,,22.91
2015,369,54.48,,39.4,78.24,121.89,42.6,,27.15
2016,369,60.4,65.5,44.3,84,121,44,,27.9
2017,369,63.33,,49.57,86.27,124.95,56.9,,30
2018,369,58.1,,49.6,82.6,111.5,49.7,,
2019,369,72.1,,51.5,92.2,143.7,39.5,,40
2020,369,74.5,,50,91.2,135.5,48.8,,
2021,369,33.1,,24.5,44.1,60.5,28.8,,15
2022,369,76.2,,56.5,98.9,148.7,60.2,,40
2023,369,70.3,,55,86.5,129.6,52.3,,
2024,369,79.8,,45.3,103.4,149.4,48.8,,28
2025,369,88.6,105.6,54.5,119.2,165.1,49.4,,40
1990,370,30.1,29,18.1,48.3,50,,,18
1991,370,32.3,38.4,23.7,41.8,72.5,,,23.5
1992,370,25.6,25,26,71,40,37,900,12
1993,370,24.4,30.1,23.6,54.7,67.1,27.4,550,15
1994,370,27.4,27.5,21.8,55.3,77.4,41.9,1020,20
1995,370,30.7,30,23,60,84.8,45.4,600,25.8
1996,370,29.8,25.8,30.1,54.9,57,34.9,975,20
1997,370,33.8,25.3,24.8,51.3,80,31.3,,16
1998,370,33.8,33.2,25.2,58.7,70.3,39.2,,22.2
1999,370,40.3,31.5,26.8,65.2,83.2,39.7,,23.2
2000,370,34.2,39.3,26.4,58.3,69.8,43,,20.2
2001,370,25.9,29.3,18.8,40.9,55,19.8,,11.3
2002,370,15.6,13,15.5,31.3,37.9,12.3,463,10.5
2003,370,35,42.5,24,57.2,50.4,29.6,,20.8
2004,370,38.5,40,21.2,67.1,79.6,41.3,,9
2005,370,43.9,50,36.8,66.4,89.8,43.1,,22.6
2006,370,34.1,33.4,31.4,59.6,75.3,28.1,,21.8
2007,370,30.3,,29.1,56,79.6,33.3,,16
2008,370,42.5,48.8,36.7,70.9,87,41.1,1027,24.2
2009,370,44.6,52.7,36,72.2,91.1,41.5,,21.6
2010,370,31.3,40.1,17.7,27.5,58.8,14.6,284,14.4
2011,370,47.4,57.2,38.2,70.5,111,40.2,,25.5
2012,370,42.7,47.8,25.9,49.4,86,33.3,,24.6
2013,370,54.2,76,39.8,76.9,109.7,34.9,,29.4
2014,370,37.96,48.6,31.29,58.69,96.78,29,,28.62
2015,370,44.73,56.19,39.38,70.95,102.58,42.2,1122.96,31.56
2016,370,44.5,54.6,43.8,79,102.4,43,880,27.7
2017,370,54.06,65,46.3,82.98,101.5,51.4,2183.37,32.21
2018,370,45.9,50,38.9,75.2,88.5,41.8,1691,25
2019,370,62.4,75.3,48.9,81.3,117.4,46.9,,36.8
2020,370,59.7,64.8,44.3,80,115.8,45.3,2533,32.2
2021,370,34.6,23.9,21.2,30.1,45.9,23.8,,10.7
2022,370,63.1,88.1,55,99.7,140.5,51.6,,40.8
2023,370,63.1,71.9,50.6,87.5,113.2,59.7,3132.8,30
2024,370,59.8,68.7,38,88.4,137,54.2,,30
2025,370,66.1,70.2,48.2,94.6,134.2,57.5,2718,30
1990,371,35.7,29.7,27,45.5,60,,,18.5
1991,371,29.3,27.9,17.6,36,50,,,11.2
1992,371,28.7,25,26.4,51,60,,,12
1993,371,25.9,25,25.6,51.9,60,39.1,900,16.3
1994,371,24.8,34.5,25.7,49.7,112,29.4,800,20
1995,371,32.3,30,22.1,53.6,79,28.5,1100,22.4
1996,371,34.8,32.9,29,62.7,73.4,31.1,900,25.5
1997,371,30.3,35,21.6,48,60.8,28.4,,17.9
1998,371,30.9,38.1,22.7,55.4,76.4,31.5,,23.6
1999,371,41.1,43.8,27.1,65,73.8,41.3,,25.1
2000,371,37,38.1,25.9,60.8,76.2,37.9,,22.3
2001,371,21.6,21.8,17.7,40.6,37.2,16.4,800,17.8
2002,371,8.3,9,9.4,17.2,27.2,8.1,,8.5
2003,371,36.6,36.4,21.4,56,57.2,25.1,,18
2004,371,29.7,28.1,22.8,62.1,73.4,41,,18.8
2005,371,38.2,43.5,32,66.5,83.1,27.4,,25.2
2006,371,31.8,36.5,27.1,55.3,81.4,30.8,,21.6
2007,371,24,23.7,25.5,53.2,78.1,37.9,,17.4
2008,371,38.6,47.5,32,63.5,88.8,35.1,,21.1
2009,371,42.4,57.9,34.6,67.7,78,33.8,,23.2
2010,371,30,40.5,20.3,34.8,60.9,21.7,1804,20.6
2011,371,39.3,56.1,34.5,63.5,59.6,46.5,,23.8
2012,371,37.2,47,24.7,44.3,73.9,25.3,,21.3
2013,371,44.3,57.8,33.8,68.8,85.2,40.8,,25.5
2014,371,36.15,45.58,30.18,62.88,79.36,19.7,1139.65,19.71
2015,371,41.16,45.25,37.7,67.56,81.4,38.8,1414.21,26.27
2016,371,45.1,45.6,39.2,70.2,101.7,41.5,1773,27.9
2017,371,49.5,48.58,38.46,70.48,94.66,45.1,1705.45,26.26
2018,371,49.5,46.5,38.5,70.5,87.4,31.5,1638,28
2019,371,53.1,50,45,76,86.1,46.2,1387,31.7
2020,371,55.8,58.3,38,75.6,88,42.6,1716,23.4
2021,371,29.6,25,14.7,25.1,25.3,20.7,582,9.2
2022,371,60.2,56,44.9,81.8,95.8,50.8,1536.6,37
2023,371,54.2,55,45.1,73.3,80.1,44.9,,25.1
2024,371,59,61,36.7,82.4,95.8,46.4,1722,35
2025,371,53.1,60,45.6,85.9,86.4,55.4,2425,33.1
1990,372,31.4,30,20,34.4,50,,,14
1991,372,24,30,17.9,26,45,,,11
1992,372,24.7,22.5,29.8,36.3,32.5,22,1680,15
1993,372,31.3,40,31.2,58.4,50.9,36.3,843,30
1994,372,26.2,38,22.8,63.1,74.2,26.8,931,22.6
1995,372,26.7,30,21.1,42.4,61.4,27.3,941,25
1996,372,31.7,,23.8,43.3,46.2,27.3,841,
1997,372,25.9,28.8,19.3,40.8,43.7,28.1,1097.6,14.8
1998,372,30.5,30,21.9,50.7,53.5,28.1,1158.2,20.5
1999,372,37.2,40,31.5,56.7,56.4,41.5,1246.4,22.3
2000,372,38.3,43.2,25.3,53.1,61,37.1,1288.2,20.8
2001,372,16.5,19.7,12.5,20.4,26.1,11.7,450,10.8
2002,372,8.7,7,7.9,7.3,17.5,5.9,240,
2003,372,27.7,35.5,17.3,40.2,46,25.9,1320,14
2004,372,29.5,30.5,23.3,49.4,65,36,1110,12
2005,372,37,38.1,30.4,57.4,76.2,37.6,1120,27.5
2006,372,32.1,30,25.8,50.2,52.5,28.3,1200,16
2007,372,25.7,30,22.5,43.4,44.4,29.7,1140,23.5
2008,372,31.6,35,28.8,50.4,53.6,32.3,,19.7
2009,372,33.7,37.8,27.7,54.7,67.8,37.5,1253,21.4
2010,372,31.3,28,23.8,46.4,62.2,27.1,933,14.9
2011,372,41.9,45.7,30.3,54.9,83.6,37.9,1565,24.7
2012,372,35,35,26.1,44.4,78,24.6,1003,20.5
2013,372,35.9,36,31.1,56.8,69.4,50.1,1357,23.1
2014,372,33.1,41.49,29.28,50.02,86.12,29.8,912.31,25.21
2015,372,35.21,32.5,35.01,54.06,65.75,35,1438.62,21.58
2016,372,45.5,37.4,39.6,71,110.4,44,1695,24.1
2017,372,39.99,,36.99,59.42,73.75,40.9,1588.08,18.8
2018,372,45.8,,37,58.6,70.1,40.9,1730,18
2019,372,47.8,,40.7,65.3,82.9,43.1,1711,31.7
2020,372,48.3,,35.1,65,76.3,41,1362,22.2
2021,372,23.9,,15.2,20.2,34.5,16.3,624,7.6
2022,372,50.3,,35.3,64.2,72,44.9,1384.2,25.3
2023,372,43.8,,34.3,55,,37,1761.5,18.8
2024,372,52.9,,34.1,77,100.2,46.6,1381,23.2
2025,372,41.2,,37.6,48.1,77.7,40.6,1693,29.8
1990,373,31.9,31,14.6,51.9,50,,,16
1991,373,31.4,33,22.2,30.3,49.2,,,20
1992,373,29.8,29,18.6,41.7,72.3,21,1320,18
1993,373,31.6,35,27.8,58.6,60,38.5,1064,24
1994,373,27.6,34,21.7,56.2,66.1,32,977,20
1995,373,27.9,35,19.8,56.6,55.5,33.5,1260,20.7
1996,373,37.3,33.9,24.8,54.4,64.4,28.4,1299,20
1997,373,33.8,32.3,17.9,47.6,52.5,28.5,935.7,17.2
1998,373,28.6,25.3,22.1,47.2,53.3,26.1,1096.5,18.1
1999,373,35.5,29.6,27,55.4,60.6,39.1,883.1,26
2000,373,32.6,36.9,26.5,57.5,57.5,33.4,1110,20.5
2001,373,13.5,17.1,12.4,29.2,35.4,9.6,477,7
2002,373,10.9,7.3,6.8,10,11.5,5.3,,
2003,373,32.3,32.5,21.6,60.6,70.1,25.1,1044,15.5
2004,373,29.9,30.6,22.7,54.1,61.1,37.7,627,12
2005,373,38.3,48.7,35.4,68,88.7,38.5,730,30.6
2006,373,29.7,,27.9,56,61.9,28.3,,20.8
2007,373,29.8,,24.8,57.9,100,28.6,,22.1
2008,373,39.8,,29.2,62.5,82.3,34.6,,26.2
2009,373,38.4,,29.8,53.4,80.3,,,21
2010,373,27.9,,22,35.2,72,27.6,868,15.8
2011,373,38.8,,29.2,50.9,82.4,29.7,,23.8
2012,373,23.2,,20.8,39.9,71,13.2,,18.7
2013,373,48.7,37,35.3,62.1,120.7,32.1,1321,29.3
2014,373,41.34,,33.48,50.92,124.14,16.1,854.31,20.93
2015,373,38.76,49.9,40.92,65.36,88.79,35.2,1174.56,26.54
2016,373,47.7,,39.1,79.2,71,41.7,612,26.4
2017,373,46.88,,30.76,67.18,69.01,38.3,915.77,25.51
2018,373,37,,29.3,49,69,33,1803,21
2019,373,47.4,,46,54.6,,35.9,1625,29.5
2020,373,52.9,,36.2,68.4,97,41,1914,27
2021,373,22,,15.1,16.9,10.5,14.2,708,9
2022,373,42.7,,29.8,54.7,55.6,25.1,1340.4,14.8
2023,373,46.6,,36.2,59.2,83.4,31.6,1878.4,15.4
2024,373,53.1,,35.4,77,102.6,39.6,1955,23.4
2025,373,48.2,55,43.7,77.9,57,42.3,1729,36.5
1990,376,29.9,34,21.5,40,45,,,19
1991,376,33.1,35,29,40.7,50,,,25
1992,376,24.8,30,23,41.9,47.2,30,1700,15
1993,376,29.8,40,25.5,52.5,70,43.3,900,
1994,376,28.2,30,24,46,62.5,29.7,1100,20
1995,376,29.5,29,20,47.8,54.4,28,900,16
1996,376,29.4,32.5,22.2,54.7,66.6,29.7,720,
1997,376,20.6,21.1,17.4,34.1,42.7,19.4,514.7,16.7
1998,376,22.6,23.9,17.3,39.3,34.1,25.9,,14.9
1999,376,34.7,33.3,25.2,58.3,68.9,43.1,1200,22.9
2000,376,29.4,35.7,22.3,48.9,58.1,32.2,1123.1,24
2001,376,18.4,17,14.7,25.1,32.7,15,700,
2002,376,11.8,17,13.7,21.4,25,11.7,500,
2003,376,18.5,22,10.9,23,31.6,16.3,1050,
2004,376,34.8,34.8,27.3,52.9,73,41.6,,
2005,376,37,44,32.2,56.2,70.4,40.4,1700,32
2006,376,31.4,30.3,29.7,53.7,68.1,34.3,,
2007,376,28.6,,23.5,41.2,49.2,37.3,,
2008,376,34,,26,57.2,43,29.5,,
2009,376,32.3,,31.4,55.8,52.3,39.9,,
2010,376,26.6,24.1,26.7,51.9,55.9,32.3,971,20
2011,376,37.6,36,30.6,54,61.7,39.5,1640,24.8
2012,376,28.7,,21.7,47,55.7,19.4,866,24.5
2013,376,43.5,44.3,36.6,71.5,68.1,43.8,2400,22.9
2014,376,37.54,36.12,33.95,70.83,86.46,36.7,985.68,26.07
2015,376,32.44,34.18,35.03,58.08,44.69,32.6,1504.37,18.93
2016,376,39.5,42.2,35.4,72.4,56.1,42.7,1785,15
2017,376,42.07,,35.93,52.31,38.61,38.5,1792.03,
2018,376,50.5,,41.5,71.5,84,45.5,2235,
2019,376,42.3,,33.6,62.6,50.8,43.6,1508,
2020,376,54,,38.1,81.2,76,50.3,2090,
2021,376,17.5,,12.5,11.6,,12.5,748,
2022,376,24.2,40,13.6,35.6,26.7,18.8,713.4,18
2023,376,27.9,20.8,21.6,42.2,9.3,25.1,1121.4,
2024,376,54.9,,35.6,82.9,68.7,40.9,1336,
2025,376,46.4,69.3,40.1,91.1,,48.8,2175,35.3
1990,377,37.1,,27.1,53.8,57,,,25
1991,377,35.3,,22,28.1,50,,,
1992,377,22.9,,28.2,41.3,45,,,5
1993,377,34.2,,26.8,52.3,53.9,32.3,900,25
1994,377,34.3,40,25.8,57.7,57.7,25.3,816,25
1995,377,28.4,30,22.2,47.8,51.2,13.6,942,20
1996,377,40.3,30.7,30.9,63.6,62.6,28.8,,21.5
1997,377,23.7,16.3,16,35.9,24.2,11.4,,13.8
1998,377,24.5,,25.2,38.7,43.6,28.3,1100,21.5
1999,377,39.6,,28.7,58.3,70.4,46,510.4,20
2000,377,33.1,,27.8,52.2,60.1,31.5,1145.9,
2001,377,19.3,,15.7,34.3,42.5,15.5,693,
2002,377,8.5,,8.5,16.1,21.3,4,240,
2003,377,23.8,,15,33.9,39,24.4,890,18.5
2004,377,30.7,,24.3,53.5,69.4,38.8,500,10
2005,377,36.4,,29.8,60.9,56.7,37.8,520,10
2006,377,36,,30.7,57.1,57.7,,,
2007,377,34,,24.4,48.4,49.4,25.8,,
2008,377,43.4,,25.6,54.9,74.4,38.1,1440,
2009,377,40.8,,29,51.4,54.7,43.1,1647,
2010,377,33.4,,29.3,44.6,52.2,32.9,1467,29.8
2011,377,43.7,,35.3,57.2,55.3,44.3,1981,35
2012,377,34.9,,26.9,43.8,60.1,30.9,1673,
2013,377,56.2,,38.7,59,62.4,46.5,2005,31.8
2014,377,44.46,,42.52,53.06,64.36,41.3,1570.2,38.97
2015,377,43.92,,42.17,56.84,57.4,36.3,1560.2,34.99
2016,377,48.5,,48.4,81.9,65.8,56.4,1114,
2017,377,46.71,,40.92,63.63,50,50.5,1990.08,
2018,377,52.6,,40.9,88,,44,1766,
2019,377,57,,45.4,87.5,,39.6,1837,
2020,377,59.1,,46,78.9,80,46.1,2170,39
2021,377,24.5,,18,22.6,20,17.3,1068,11.5
2022,377,48,,25.2,44.4,30,23.9,1411.9,
2023,377,45.1,,32.9,63.9,,31.9,2237.7,
2024,377,61.4,,35.2,75.7,,41.9,1544,
2025,377,71,,49.1,96.8,,60.8,2525,
1990,378,34.5,27.5,26.2,50,62.6,,,20.3
1991,378,30.6,28,17.6,36,43.5,,,
1992,378,22,20.4,28.7,40,50,20.8,,15
1993,378,35.5,20,25.3,43.5,54.2,35,,
1994,378,32.6,15,19.2,47.5,50,31.7,,
1995,378,24.5,15.6,18.9,36.8,40,15,700,22
1996,378,40.2,22.3,26.2,56.8,64.2,32.5,,25
1997,378,22.9,,19.5,31.1,37.6,21,900,15
1998,378,23.1,25.3,19.5,38.3,28.6,21.9,,20
1999,378,35.9,29.8,31.1,62.3,73.2,44.7,1350,26
2000,378,29.6,30.2,22.4,42.2,47.5,20.8,761.4,20
2001,378,18.4,17,14.6,26,35.4,13.2,703,10
2002,378,6.2,12,6.8,15,30,3.7,,9
2003,378,20.4,17.4,11.2,30.1,22.3,21.3,625,12.5
2004,378,25.7,31.9,20.4,42.2,42.6,29.6,1320,15
2005,378,29.2,30,24.5,47,64.5,27.3,1225,20.5
2006,378,26.5,30.4,22.1,40.4,49.6,40.7,,15
2007,378,28.8,31.4,22.3,39.1,46.1,31.5,1566,20.5
2008,378,30.7,,25.8,47.5,51.9,32.8,1500,20
2009,378,31.1,32,26.7,49.4,50.9,31.4,1300,22
2010,378,35,35,31.9,48.6,64.7,36.8,1412,23.9
2011,378,37.8,31.7,33.4,53.6,71.8,38.4,1781,25
2012,378,32.7,17,25.7,40,,31.8,1552,25
2013,378,40.5,25.5,34.2,53,78.8,43,1733,29.5
2014,378,42.5,,33.57,47.73,36.8,35.8,1565.55,27.58
2015,378,38.05,37.32,35.7,53.86,76.65,29.9,1469.8,23.9
2016,378,45.3,,39.4,54.1,101.3,47.3,1502,33.2
2017,378,40.51,,36.8,59.82,61.08,39.3,1786.37,
2018,378,40.5,,36.8,66,74,42.8,1735,
2019,378,48.8,,38,53.7,78.3,43.1,1802,
2020,378,49,,41.1,65.5,76.6,47.1,1797,
2021,378,33.6,,20.9,33,40,25.4,1241,18.4
2022,378,45.1,,35.3,71.5,71.2,40.8,1787.4,28.4
2023,378,42.2,,34.5,51.7,,39.7,1959.3,10.8
2024,378,47.6,,34,72.9,66.7,36.6,1466,
2025,378,57.6,,45.1,94.6,87,47.4,2429,33.4
1990,379,38.4,36,26.3,54.2,61.4,,,28.5
1991,379,30.8,32.3,21.8,47,51.8,,,
1992,379,25.3,25,24.4,38.1,44.8,28,1275,15
1993,379,34.7,40,22.9,46,73,39.1,923,25
1994,379,33.2,35,23.8,48.1,58.6,35.4,1430,
1995,379,25.4,27.1,20.4,35.8,46.5,13.4,895,
1996,379,35.8,36.4,25.7,58.9,71.1,36.4,1203,
1997,379,25.2,29.5,19.8,34.7,32.3,19.8,849.3,
1998,379,23,22.7,17,34.6,37.9,19.6,719.2,
1999,379,36.1,35,31.3,57,70,40.6,1276.7,
2000,379,31.5,33.2,26.5,46.5,57.7,34,1242.9,17.1
2001,379,23.4,27.2,15.9,35.2,39.8,22.9,686,14
2002,379,7.5,5.9,5.4,9.6,14,3.3,375,
2003,379,21,18.6,9.3,30.6,32.1,18.8,548,
2004,379,29,30.9,19.2,43.5,45.9,31.3,1274,
2005,379,35.4,38.3,32.2,52.7,69.2,39.8,1548,
2006,379,29.3,27,23.7,40.4,47.8,35.6,1003,
2007,379,30.8,32,25.3,45.7,57,37,1569,
2008,379,35.7,40,29.4,50.9,59.3,44.3,2076,
2009,379,30.7,34,24.8,48.2,57.5,32.2,1459,
2010,379,42.4,40,36.4,47.9,64.6,32.9,1166,22
2011,379,47.9,58.3,38.3,63.9,32.7,44.2,1889,28
2012,379,34.7,41,25.4,40.2,,27.5,914,
2013,379,52.7,60.4,45.7,62.9,95,48.9,1869,27.1
2014,379,47.01,56.86,36.44,64.06,56.86,38.7,1126.84,28.03
2015,379,37.27,43.34,37.31,55.59,54.55,34.1,1434.52,21.78
2016,379,51.2,49.9,46.1,77.8,68.6,46.6,1430,25
2017,379,46.14,,38,73.79,90,46.6,1731.38,
2018,379,49.7,54,38,71.6,,46.4,1879,
2019,379,55.2,,45.6,74.9,100,46.7,1749,
2020,379,65.4,63.2,47.5,78.8,,39.5,2028,29.6
2021,379,35,,22.5,45.5,46.8,25.9,1177,14.8
2022,379,43.9,,35.2,66.1,95.7,33.2,1410.9,22.2
2023,379,54.1,,38.6,75.2,,38.7,1935.7,19.4
2024,379,55.2,,36.5,74.1,,37.7,1375,
2025,379,68,,53.1,101.3,,57.4,2405,29.8
1990,380,33.7,35,23.6,43,41.6,,,23
1991,380,36.7,36,23.9,45.4,50.4,,,20
1992,380,19.4,20,21.4,49.7,42,30,1100,15
1993,380,35.8,40,23.3,59.4,64.3,24.1,300,30.5
1994,380,32.2,41.9,24.4,54.4,46,34.3,1200,15
1995,380,21.3,30.5,16.6,24.3,40,15.4,758,
1996,380,39.1,30.9,25.8,51.4,55.5,31.6,1320,
1997,380,27.9,19.5,19.1,44.9,39.8,21.2,,
1998,380,25.8,20.9,21.2,40.9,68.6,29.3,,
1999,380,39.7,48.5,31,59.4,78.1,49.4,1000,30.8
2000,380,36.3,40.4,28.4,50.6,,38.7,,27.6
2001,380,23.2,,14.6,29.3,,21.2,559,
2002,380,8.5,,7.6,10.5,16.7,3.2,,
2003,380,20.1,,11.4,33.5,38.5,23.2,,
2004,380,29.3,,20.5,47.9,61,41.4,,
2005,380,35.1,38.3,36.7,55.2,,43.7,,
2006,380,32.3,,27.6,55.3,65.5,33.8,,26.5
2007,380,34.8,,27.9,52.8,,38.9,,
2008,380,39.7,,32.8,56.5,,45.1,,
2009,380,36.2,,28,51.3,64.5,30.1,,
2010,380,36.2,,30.3,55.8,64.7,32.4,956,26.8
2011,380,44.5,,36.2,65.3,90.9,43.6,1860,26.4
2012,380,36.9,,28.2,54.5,,26.7,,
